"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2015-05-07",0,FALSE,"596299699679666176",TRUE,NA,NA,NA,NA,NA,12,FALSE,"HariHaraBhakta","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @sarkar_swati: Excellent set of tweets from @Neelam_Soti demanding that PM @narendramodi speak up on riots against Hindus. Read: https:/<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299690896818178",TRUE,NA,NA,NA,NA,NA,28,FALSE,"rknshah","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji if u speak on killings of Hindus in Nadia that will trigger a national debate on plight of Hindus.That w<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299689990889472",TRUE,NA,NA,NA,NA,NA,1815,FALSE,"gunjangunjan12","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @narendramodi: A splendid effort towards a Clean India by BJP Karyakartas in Varanasi!  #MyCleanIndia http://t.co/aGPfXSQZ8a http://t.co<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299680830459904",TRUE,NA,NA,NA,NA,NA,17,FALSE,"ShivshankarS","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amitbaj96745453: Latest Interview of @narendramodi ji with TIME. Share it. 
http://t.co/SurRXJSyMw http://t.co/meG5Eg0F3V",FALSE
"2015-05-07",0,FALSE,"596299673599496193",TRUE,NA,NA,NA,NA,NA,20,FALSE,"monty_chadha","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Neelam_Soti: .@narendramodi ji no big BJP leader came to give solace to victims of Saharanpur riots. Shopkeepers lost a lot in those ri<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299669249990657",TRUE,NA,NA,NA,NA,NA,19,FALSE,"SamarHindustan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji security is prerequisite of development. If Hindus are not secure what will they do of development?",FALSE
"2015-05-07",0,FALSE,"596299660509118465",FALSE,NA,NA,NA,NA,NA,0,FALSE,"RangeelaR","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ARHAR DAL
MAY 2014.  Rs 65/kg
MAY 2015.   Rs 100/kg
#NoAchchheDin
@narendramodi",FALSE
"2015-05-07",0,FALSE,"596299658122563584",TRUE,NA,NA,NA,NA,NA,21,FALSE,"sreemoytalukdar","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Neelam_Soti: .@narendramodi ji why don't you send a Home Ministry delegation to inspect Nadia Riots? That will give strength and solace<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299640795893760",TRUE,NA,NA,NA,NA,NA,28,FALSE,"sreemoytalukdar","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Neelam_Soti: .@narendramodi ji if u speak on killings of Hindus in Nadia that will trigger a national debate on plight of Hindus.That w<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299636677025792",TRUE,NA,NA,NA,NA,NA,161,FALSE,"ParthiVasudev","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","RT @hydyouthcong: President sir shud conduct erections again now and rahul sir will win full majority and narendramodi will loss deposits",FALSE
"2015-05-07",0,FALSE,"596299632835108864",TRUE,NA,NA,NA,NA,NA,25,FALSE,"SamarHindustan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji the day you were elected PM, Hindus felt secure. But now attacks on Hindus are again picking up from UP <U+2026>",FALSE
"2015-05-07",0,FALSE,"596299631820197888",TRUE,NA,NA,NA,NA,NA,37,FALSE,"sameer0924","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","RT @Neelam_Soti: .@narendramodi ji you rescued people from Yemen and Nepal. Also do something for Hindu victims of Nadia Riots. http://t.co<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299628347195392",TRUE,NA,NA,NA,NA,NA,112,FALSE,"bvr0303","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @ChaudhryShankar: Yes, #ModiMatters in many ways . @narendramodi on cover page of @TIME once again. Read here http://t.co/UxviyGHREi htt<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299603709857792",TRUE,NA,NA,NA,NA,NA,2056,FALSE,"neilkhwan786","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @narendramodi: I bow to Gurudev Rabindranath Tagore on his birth anniversary. http://t.co/olcyvH6EOI",FALSE
"2015-05-07",0,FALSE,"596299598819250176",TRUE,NA,NA,NA,NA,NA,2056,FALSE,"greatgujarati","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @narendramodi: I bow to Gurudev Rabindranath Tagore on his birth anniversary. http://t.co/olcyvH6EOI",FALSE
